PID   USER     TIME   COMMAND
    1 0          0:01 /init --second-stage
 5026 1000       0:09 {manager:service} com.huawei.systemmanager:service
 5076 0          0:00 [kbase_event]
 5095 0          0:00 [kbase_event]
 5121 10030      0:00 {hbox:interactor} com.google.android.googlequicksearchbox:interactor
 5141 10080      0:03 {putmethod.latin} com.google.android.inputmethod.latin
 5159 0          0:00 [kworker/1:2]
 5166 1010       0:03 /system/bin/wpa_supplicant -d -iwlan0 -Dnl80211 -c/data/misc/wifi/wpa_supplicant.conf -I/system/etc/wifi/wpa_supplicant_overlay.conf -m/data/misc/wifi/p2p_supplicant.conf -O/data/misc/wifi/sockets -puse_p2p_group_interface=1p2p_device=1 -e/data/misc/wifi/entropy.bin -g@android:wpa_wlan0
 5247 1027       0:01 com.android.nfc
 5266 1000       0:06 {awei.powergenie} com.huawei.powergenie
 5278 1001       0:03 {m.android.phone} com.android.phone
 5306 10129      0:08 {coilsw.launcher} com.teslacoilsw.launcher
 5392 1001       0:00 {ndroid.incallui} com.android.incallui
 5451 10082      0:00 {android.smspush} com.android.smspush
 5519 10102      0:02 {egram.messenger} org.telegram.messenger
 5604 1000       0:00 {.huawei.lcagent} com.huawei.lcagent
 5644 10008      0:12 {gle.android.gms} com.google.android.gms
 5673 10119      0:07 {rosoft.skydrive} com.microsoft.skydrive
 5698 0          0:00 [kbase_event]
 5805 10008      0:03 {e.process.gapps} com.google.process.gapps
 6078 10008      0:19 {.gms.persistent} com.google.android.gms.persistent
 6097 1000       0:01 /system/bin/perfhub
 6169 0          0:00 [kbase_event]
 6334 1014       0:00 /system/bin/dhcpcd -BKL -f /system/etc/dhcpcd/dhcpcd.conf -h HUAWEI_MT7-L09-ea50272f6c wlan0
 6418 0          0:01 /system/bin/glgps4752 -c /data/gps/gpsconfig.xml
 6463 1023       0:20 /system/bin/sdcard -u 1023 -g 1023 -U 0 /mnt/media_rw/0000-0000 0000-0000
 7916 1050       0:00 {.service:remote} org.simalliance.openmobileapi.service:remote
 9258 10028      0:16 {android.vending} com.android.vending
 9583 1000       0:01 {i.systemmanager} com.huawei.systemmanager
10520 0          0:00 [kworker/3:2]
10790 1000       0:00 {ndroid.settings} com.android.settings
11129 10013      0:00 {awei.trustagent} com.huawei.trustagent
11249 10003      0:01 {ndroid.contacts} com.android.contacts
11280 10052      0:00 {ei.hwmwlauncher} com.huawei.hwmwlauncher
11301 10051      0:00 {i.motionservice} com.huawei.motionservice
11315 10030      0:01 {earchbox:search} com.google.android.googlequicksearchbox:search
11354 10034      0:00 {viders.calendar} com.android.providers.calendar
11371 10047      0:00 {ndroid.calendar} com.android.calendar
11453 10008      0:03 {id.gms.unstable} com.google.android.gms.unstable
11616 0          0:00 [kbase_event]
11660 2000       0:00 /system/bin/sh -
11687 2000       0:04 su
11690 0          0:00 daemonsu:0     
11692 0          0:03 daemonsu:0:11687
11696 0          0:00 sush -
11705 10017      0:01 {ainfire.supersu} eu.chainfire.supersu
11725 0          0:00 [kbase_event]
11824 0          0:00 [kbase_event]
11865 0          0:00 [kbase_event]
11932 0          0:01 [kworker/0:0]
11947 10002      0:00 {id.defcontainer} com.android.defcontainer
11970 10011      0:00 {id.partnersetup} com.google.android.partnersetup
12000 1000       0:00 {d.karaokeeffect} com.huawei.android.karaokeeffect
12018 10069      0:02 {droid.apps.docs} com.google.android.apps.docs
12051 0          0:00 [kworker/u16:2]
12073 10135      0:04 {facebook.katana} com.facebook.katana
12137 10060      0:00 {ndroid.launcher} com.huawei.android.launcher
12230 10018      1:17 {ericson.busybox} stericson.busybox
12249 10018      0:04 su
12253 0          0:04 daemonsu:10018
12254 0          0:00 [kbase_event]
12269 0          0:04 sush -
12301 0          0:00 daemonsu:10017
12353 10018      0:12 /system/bin/sh
29553 0          0:02 su
29556 0          0:02 daemonsu:0:29553
29557 0          0:00 sush -
29591 0          0:00 [kworker/0:2]
29639 0          0:00 [kworker/u16:0]
29783 0          0:00 [kworker/0:1]
29828 0          0:00 [kworker/u16:1]
29986 0          0:00 ps
